State,District,Latitude,Longitude,District code,Population,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Male_Workers,Female_Workers,Non_Workers,Agricultural_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Rural_Households,Urban_Households,Sex Ratio,Literacy rate
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,287303,195960,72341,37317,35024,308343,153435,154908,295690,194512,660365,206902,628044,398243,83208,198,245,125,223450,37543,95.21285530318583,42.00216067382429
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,191991,151492,44674,22150,22524,424407,211546,212861,159867,128778,310933,90232,201524,15103,306601,51,753,114,144169,11114,99.65369003259975,57.28745884605506
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,641388,472024,319149,158135,161014,97203,48470,48733,511575,306506,1071671,303243,1634229,219991,3433,443,412,25198,324799,165858,98.898023494097,58.9184189248113
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,385311,303438,213700,107424,106276,52903,27147,25756,315499,144392,531032,84108,890429,92252,5368,389,272,1045,231052,95410,94.61458996174181,69.50580418458347
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,1725548,1326484,577418,289096,288322,297198,148673,148525,1372422,733246,2673993,649517,4038331,528412,18418,2037,1086,178310,962777,356198,97.25698423854435,63.85457043920061
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,813440,608181,517409,258582,258827,451406,225451,225955,703258,413622,1335715,406092,2103633,320834,14014,1029,284,8044,371604,251876,98.2769771551731,57.96395246667305
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,597198,445475,399785,204280,195505,235822,119787,116035,459050,243558,1000692,280091,1289709,335184,35438,1145,30453,680,287134,102269,95.6320743339861,61.21487700346386
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,54076,32843,10122,5145,4977,204189,101519,102670,71591,62934,120705,49859,245151,1617,2709,68,1649,15,50449,7942,98.37093803191283,34.05516592877013
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,730566,517702,442773,226440,216333,39314,19912,19402,580111,347611,1249609,351600,1786830,369588,2433,558,374,8665,396449,131041,95.9755072356803,57.330190035414915
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,438257,380088,253651,125016,128635,44970,21990,22980,357889,207885,572187,126600,1004553,101235,26000,182,109,4710,311660,80766,100.8324773835114,71.91327295047897
